X,Y,Z,Heading
0.5673333,0.726,21.62067,61.99412
0.552,0.7753334,21.62067,64.55096
0.5426667,0.7986667,21.62067,65.80524
0.5456667,0.7743334,21.62067,64.82794
0.5466667,0.7776667,21.62067,64.89441
0.541,0.8360001,21.62067,67.09191
0.5226667,0.9683333,21.62067,71.64164
0.4823333,1.084,21.62067,76.01299
0.4653334,1.114333,21.62067,77.33511
0.3156667,1.152667,21.62067,84.68461
0.0003333333,1.030667,21.62067,99.98147
21.745,0.9543333,21.62067,12.51295
21.67667,0.9216667,21.62067,12.43468
21.635,0.884,21.62067,12.33979
21.61333,0.8666667,21.62067,12.29626
21.61433,0.8773334,21.62067,12.32438
21.61467,0.8856667,21.62067,12.3464
21.60333,0.885,21.62067,12.34586
21.593,0.892,21.62067,12.36553
21.58133,0.906,21.62067,12.40391
21.552,0.889,21.62067,12.36206
21.545,0.892,21.62067,12.37079
21.53267,0.906,21.62067,12.40933
21.526,0.9006666,21.62067,12.39591
21.51633,0.9053333,21.62067,12.40939
21.50633,0.9286667,21.62067,12.47256
21.48467,0.9286667,21.62067,12.47505
21.46133,0.9186666,21.62067,12.45109
21.455,0.9323334,21.62067,12.48824
21.463,0.935,21.62067,12.49442
21.46367,0.9076667,21.62067,12.42151
21.45767,0.9193334,21.62067,12.45328
21.46033,0.9316667,21.62067,12.48585
21.46833,0.9253333,21.62067,12.46805
21.455,0.92,21.62067,12.45536
21.44967,0.8953334,21.62067,12.3902
21.47133,0.9053333,21.62067,12.41443
21.472,0.9116667,21.62067,12.43123
21.46767,0.9106667,21.62067,12.42905
21.45833,0.8866667,21.62067,12.36614
21.46,0.909,21.62067,12.42548
21.44867,0.9123333,21.62067,12.43565
21.44667,0.896,21.62067,12.39231
21.452,0.896,21.62067,12.39172
21.45767,0.9116667,21.62067,12.43285
21.45667,0.907,21.62067,12.42052
21.72867,1.104333,21.62067,12.90948
0.2903333,0.99,21.62067,83.65537
0.577,0.762,21.62067,62.86634
0.6666667,0.779,21.62067,59.44315
0.515,0.99,21.62067,72.51646
0.36,1.022,21.62067,80.59516
0.5456667,0.9599999,21.62067,70.38597
0.58,0.9403333,21.62067,68.3336
0.4776667,1.042333,21.62067,75.37959
0.3343333,1.103667,21.62067,83.14688
0.369,0.927,21.62067,78.29456
0.4283333,0.976,21.62067,76.30495
0.3523333,1.1,21.62067,82.23957
0.3326667,1.032667,21.62067,82.144
0.347,1.089333,21.62067,82.33105
0.3706666,1.117,21.62067,81.64203
0.356,1.092667,21.62067,81.95395
0.322,1.101,21.62067,83.69783
0.295,1.111667,21.62067,85.13811
0.05766666,1.042333,21.62067,96.83336
21.783,1.033667,21.62067,12.71681
0.01733333,1.067667,21.62067,99.06989
21.828,1.044333,21.62067,12.73916
0.056,1.100667,21.62067,97.0874
0.6093333,0.497,21.62067,49.20225
0.6690001,0.8453333,21.62067,61.64177
0.3653333,1.135667,21.62067,82.1675
0.5616667,1.028333,21.62067,71.35701
0.652,0.9076667,21.62067,64.30936
0.3886666,1.143333,21.62067,81.22495
0.1136667,1.000333,21.62067,93.51735
0.04333333,0.7743334,21.62067,96.79694
21.83333,1.098333,21.62067,12.87986
21.737,1.020333,21.62067,12.68749
21.65867,0.8856667,21.62067,12.34164
21.62633,0.8883333,21.62067,12.35219
21.61533,1.004,21.62067,12.65939
21.582,1.057,21.62067,12.80388
21.537,1.032667,21.62067,12.74514
21.49367,1.015,21.62067,12.70368
21.443,1.023667,21.62067,12.73317
21.415,0.9933333,21.62067,12.65576
21.426,0.996,21.62067,12.66151
21.45033,0.9876667,21.62067,12.63628
21.47533,0.9853333,21.62067,12.62701
21.48767,1.025,21.62067,12.73104
21.50967,1.003333,21.62067,12.67067
21.527,0.9186666,21.62067,12.44362
21.55433,0.8166667,21.62067,12.16983
21.555,0.7906666,21.62067,12.10075
21.56833,0.784,21.62067,12.08176
21.57533,0.7736667,21.62067,12.05368
21.581,0.7543333,21.62067,12.00188
21.58933,0.732,21.62067,11.94191
21.61267,0.745,21.62067,11.97423
21.58,0.7206666,21.62067,11.91269
21.572,0.6576667,21.62067,11.74624
21.546,0.77,21.62067,12.04674
21.55833,0.7436666,21.62067,11.97567
21.55367,0.762,21.62067,12.02477
21.59,0.8066667,21.62067,12.13975
21.60367,0.805,21.62067,12.13398
21.59767,0.8083333,21.62067,12.1434
21.56033,0.7543333,21.62067,12.0038
21.56133,0.734,21.62067,11.94973
21.576,0.717,21.62067,11.90332
21.583,0.6953334,21.62067,11.84524
21.59367,0.6936666,21.62067,11.83992
21.592,0.671,21.62067,11.77997
21.58933,0.6406667,21.62067,11.69976
21.59933,0.639,21.62067,11.69456
21.64867,0.6173334,21.62067,11.6334
21.71633,0.5933333,21.62067,11.56504
0.006666667,0.5736667,21.62067,99.33418
0.094,0.5753334,21.62067,90.72079
0.121,0.5833333,21.62067,88.28139
0.1183333,0.5853333,21.62067,88.57089
0.1336667,0.5793333,21.62067,87.00778
0.1486667,0.5753334,21.62067,85.51163
0.102,0.6066667,21.62067,90.45601
21.62,0.7466667,21.62067,11.97798
21.57467,0.9376667,21.62067,12.48859
21.59167,0.972,21.62067,12.57756
21.608,0.917,21.62067,12.43006
21.607,0.9440001,21.63567,12.50164
21.62,0.986,21.63567,12.61122
21.60867,0.9726666,21.63567,12.5773
21.58533,0.9700001,21.63567,12.57302
21.576,0.9726666,21.63567,12.5812
21.57033,0.9673333,21.63567,12.56774
21.562,0.9716667,21.63567,12.58022
21.542,0.9806666,21.63567,12.6065
21.538,0.9706667,21.63567,12.58044
21.52967,0.977,21.63567,12.59826
21.52033,0.9776667,21.63567,12.60115
21.51967,0.9736667,21.63567,12.59061
21.50867,0.972,21.63567,12.5875
21.50533,0.9736667,21.63567,12.59233
21.515,0.9716667,21.63567,12.58585
21.53667,0.9933333,21.63567,12.64078
21.56033,1.011,21.63567,12.68473
21.57133,0.9386666,21.63567,12.49163
21.57767,0.8719999,21.63567,12.31419
21.61633,0.9843333,21.63567,12.60725
21.617,1.004,21.63567,12.65919
21.61533,0.9833334,21.63567,12.60473
21.611,0.977,21.63567,12.58849
21.62,0.9969999,21.63567,12.64031
21.63033,1.024333,21.63567,12.71129
21.628,1.017333,21.63567,12.69308
21.628,1.003333,21.63567,12.65607
21.63167,1.027333,21.63567,12.71905
21.63967,1.039,21.63567,12.74887
21.63633,1.033667,21.63567,12.7352
21.63867,1.028333,21.63567,12.72082
21.64267,1.039,21.63567,12.74849
21.64667,1.049,21.63567,12.77439
21.65033,1.053333,21.63567,12.78536
21.656,1.050667,21.63567,12.77759
21.646,1.046,21.63567,12.76655
21.653,1.064,21.63567,12.81318
21.652,1.078667,21.63567,12.85202
21.64033,1.058667,21.63567,12.80073
21.625,1.048333,21.63567,12.7754
21.621,1.060667,21.63567,12.80852
21.61867,1.055333,21.63567,12.79472
21.618,1.046,21.63567,12.77013
21.62867,1.067,21.63567,12.82426
21.62633,1.066,21.63567,12.82193
21.625,1.06,21.63567,12.80624
21.62533,1.061667,21.63567,12.8106
21.631,1.069333,21.63567,12.83013
21.62867,1.068667,21.63567,12.82867
21.62433,1.065,21.63567,12.81954
21.61333,1.047,21.63567,12.77337
21.59167,1.034333,21.63567,12.74262
21.58933,1.023667,21.63567,12.71467
21.58633,1.014,21.63567,12.68944
21.58833,1.012,21.63567,12.6839
21.701,1.102667,21.63567,12.9088
21.845,1.117,21.63567,12.92715
0.202,1.075,21.63567,89.35782
0.4103333,0.9493333,21.63567,76.6244
0.4636667,0.8506666,21.63567,71.40685
0.5483334,0.8343333,21.63567,66.68663
0.6233334,0.777,21.63567,61.26234
0.6536667,0.6126667,21.63567,53.14558
0.641,0.5303333,21.63567,49.60276
0.6673333,0.6056666,21.63567,52.22665
0.6783333,0.6343333,21.63567,53.08018
0.6653333,0.562,21.63567,50.18742
0.6690001,0.6093333,21.63567,52.32764
0.68,0.6433333,21.63567,53.41286
0.6683333,0.5893333,21.63567,51.4057
0.662,0.556,21.63567,50.0262
0.59,0.4236667,21.63567,45.68134
0.5373333,0.3643333,21.63567,44.13883
0.3676667,0.2986667,21.63567,49.08799
0.2893333,0.3093333,21.63567,56.9134
0.2026667,0.334,21.63567,68.75119
0.122,0.3876667,21.63567,82.53103
0.146,0.4633333,21.63567,82.50994
0.249,0.517,21.63567,74.28338
0.34,0.5366667,21.63567,67.64409
0.3986667,0.569,21.63567,64.9832
0.435,0.5973333,21.63567,63.93652
0.439,0.612,21.63567,64.34735
0.4293333,0.622,21.63567,65.38475

